"month_date_yyyymm","postal_code","zip_name","nielsen_hh_rank","hotness_rank","hotness_rank_mm","hotness_rank_yy","hotness_score","supply_score","demand_score","median_days_on_market","median_days_on_market_mm","median_dom_mm_day","median_days_on_market_yy","median_dom_yy_day","median_dom_vs_us","ldpviews_per_property_mm","ldpviews_per_property_yy","ldpviews_per_property_vs_us","median_listing_price","median_listing_price_mm","median_listing_price_yy","median_listing_price_vs_us"
202003,94303,"palo alto, ca",2385,3375,-527,-961,70.992366,97.79396316,44.19076966,19,0.2667,4,-0.4063,-13,-40.5,-0.2216,-0.1543,0.9073,1537050,-0.0959,0.1385,4.8039
202003,94546,"castro valley, ca",1110,731,-605,-663,90.048323,81.6933959,98.40324953,37,2.3636,26,0.85,17,-22.5,0.1571,0.1096,3.2185,872050,0.0506,0.1208,2.7254
202003,94547,"hercules, ca",5311,647,-603,120,90.937741,83.7593669,98.11611457,35.5,1.3667,20.5,0.3654,9.5,-24,-0.0686,0.9309,3.1457,674950,0,0.4703,2.1094
202003,94565,"pittsburg, ca",75,1114,-759,-466,86.805799,86.35758807,87.25400938,33.5,0.8611,15.5,0.1964,5.5,-26,-0.1868,-0.0987,1.8742,470050,0.0108,0.022,1.469
202003,94583,"san ramon, ca",2435,136,-44,146,97.181175,97.3457525,97.0165978,20.5,0.2813,4.5,-0.1087,-2.5,-39,-0.0826,0.5746,2.7947,999500,-0.000500,0.0632,3.1238
202003,94070,"san carlos, ca",3028,3652,-1414,-2205,69.269557,84.64878493,53.89032845,35,1.5,21,0.4583,11,-24.5,-0.1888,-0.1543,1.053,1798050,-0.0477,-0.0527,5.6196
202003,94043,"mountain view, ca",2380,4091,-1104,2465,66.916451,96.6034036,37.22949786,22,0.5714,8,-0.2143,-6,-37.5,-0.2907,0.7429,0.8079,1523550,-0.0158,0.0308,4.7617
202003,94571,"rio vista, ca",9366,9211,-610,-2275,38.570628,64.88549618,12.25576021,48.5,-0.2302,-14.5,-0.0102,-0.5,-11,-0.3396,-0.2391,0.4636,419950,0.0072,0.0497,1.3124
202003,94580,"san lorenzo, ca",4927,983,NULL,-707,88.06289,92.03025422,84.0955249,28.5,-0.1618,-5.5,0.0556,1.5,-31,-0.216,-0.2799,1.755,728050,0.0401,0.1287,2.2754
202003,94116,"san francisco, ca",1506,756,149,-471,89.87324,87.02990405,92.71657679,33,0.65,13,0.65,13,-26.5,0.2014,0.0437,2.2119,1397550,0.1225,0.0061,4.3679
202003,94605,"oakland, ca",1418,2348,-1414,-1244,77.641992,81.6933959,73.59058758,37,1.0556,19,0.3214,9,-22.5,-0.2153,-0.0315,1.4238,599050,0.0345,-0.018,1.8722
202003,94611,"oakland, ca",894,392,-242,77,93.623503,97.3457525,89.90125359,20.5,0.8636,9.5,-0.0238,-0.5,-39,-0.2561,0.1822,2.0199,1395050,0.1635,0.005,4.3601
202003,94024,"los altos, ca",5656,4705,-2008,-2411,63.299251,82.37971847,44.21878283,36.5,0.587,13.5,0.2167,6.5,-23,-0.2634,-0.301,0.9073,3988050,-0.0025,-0.0025,12.4644
202003,94518,"concord, ca",3998,1039,-998,-464,87.534141,80.97906016,94.08922193,37.5,1.0833,19.5,0.3889,10.5,-22,-0.3723,0.4874,2.3444,649550,0.015,-0.000800,2.03
202003,94610,"oakland, ca",1626,2160,-1033,-1577,78.927096,86.35758807,71.4966034,33.5,2.0455,22.5,1.3929,19.5,-26,-0.1811,-0.2061,1.3775,899050,0.1266,-0.0965,2.8098
202003,94127,"san francisco, ca",6150,532,NULL,NULL,91.918202,98.98452273,84.85188038,15,0.6667,6,-0.4643,-13,-44.5,-0.4372,0.0189,1.7815,2385050,0.0484,0.4454,7.4543
202003,94503,"american canyon, ca",7202,1620,NULL,387,82.715876,97.07962742,68.3521255,21,0,0,-0.5714,-28,-38.5,-0.4343,0.0313,1.3113,579050,-0.1422,0.0546,1.8097
202003,94306,"palo alto, ca",3515,3404,NULL,-1313,70.862806,98.00406191,43.72154913,18.5,-0.4861,-17.5,-0.4861,-17.5,-41,-0.3645,-0.236,0.9007,2824050,0.0104,0.0236,8.8264
202003,94806,"san pablo, ca",573,762,-632,1095,89.810211,91.58904685,88.03137475,29,0.6111,11,-0.2927,-12,-30.5,-0.3402,0.3505,1.9139,499050,0.0184,0.0871,1.5596
202003,94123,"san francisco, ca",1726,890,-333,-516,88.819245,94.08922193,83.54926816,26,0.2381,5,-0.0714,-2,-33.5,-0.1863,-0.2471,1.7351,2245050,-0.3082,-0.239,7.0167
202003,94552,"castro valley, ca",8047,180,NULL,-95,96.57539,95.22375516,97.9270257,24.5,0.3611,6.5,0.0652,1.5,-35,-0.1625,0.3488,3.0728,1100050,0.1022,-0.0833,3.438
202003,94542,"hayward, ca",8408,1212,NULL,-643,86.059948,78.87807269,93.24182366,39,1.4375,23,0.3448,10,-20.5,-0.3467,0.2445,2.2583,1200938,0.000700,0,3.7534
202003,94536,"fremont, ca",142,1029,-411,1223,87.593669,94.08922193,81.09811611,26,1.8889,17,0.1304,3,-33.5,-0.1755,0.9154,1.649,1024450,0.0784,0.0453,3.2018
202003,94595,"walnut creek, ca",4345,2034,-794,-1572,79.781497,91.58904685,67.97394776,29,0.16,4,0.16,4,-30.5,-0.2403,-0.3147,1.298,562050,-0.0555,-0.1205,1.7565
202003,95476,"sonoma, ca",1674,4182,1077,-1050,66.307164,78.87807269,53.73625604,39,-0.4658,-34,-0.2041,-10,-20.5,-0.307,-0.2685,1.0464,1225050,0.3922,0.2564,3.8287
202003,94010,"burlingame, ca",1126,1718,764,378,82.022551,94.48140626,69.56369494,25.5,-0.2031,-6.5,-0.2714,-9.5,-34,-0.0337,0.1167,1.3311,3709494,-0.1363,0.0318,11.5938
202003,94550,"livermore, ca",864,948,-889,-671,88.346523,80.25071784,96.44232789,38,1.1111,20,0.2667,8,-21.5,-0.225,0.0387,2.6689,823550,-0.0017,-0.0747,2.5738
202003,94941,"mill valley, ca",2410,1472,-686,-363,83.934449,92.52048463,75.34841375,28,0.1667,4,-0.0667,-2,-31.5,-0.255,0.0571,1.4702,1945050,0.1475,0.1612,6.0791
202003,94521,"concord, ca",1439,617,-511,-239,91.186358,91.58904685,90.78366832,29,0.6111,11,0,0,-30.5,-0.3305,-0.0714,2.0662,699500,0.0598,0.1327,2.1861
202003,94121,"san francisco, ca",855,1146,-613,-62,86.567687,94.9436235,78.19175012,25,0.1364,3,-0.1071,-3,-34.5,-0.2879,0.119,1.5563,1585050,-0.1636,0.1362,4.9539
202003,94301,"palo alto, ca",5849,6141,-4249,-4047,55.87226,60.3123468,51.43217312,51.5,0.8393,23.5,0.6094,19.5,-8,-0.323,-0.1,1.0132,4117550,0.211,0.0563,12.8692
202003,94545,"hayward, ca",4571,124,-66,434,97.380769,97.5138315,97.24770642,20,0.8182,9,-0.375,-12,-39.5,-0.1021,0.4367,2.8543,738050,-0.0763,0.0711,2.3066
