month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
201906,94103,"san francisco, ca",NULL,1195050,-0.0624,0.1974,41,0.4138,0.4643,28,-0.125,-0.125,20,0,0,0,NULL,NULL,8,1,NULL,18,-0.3333,-0.3571,1090.332805,0.1297,-0.0435,1004,0.0469,0.0913,2090269,0.0381,0.3543,59,0.0536,0.0536,0.439,-0.492,-0.561
201906,94939,"larkspur, ca",*,1795050,-0.1551,NULL,13,0,NULL,30,0.0909,NULL,8,1,1,0,NULL,NULL,8,1,1,4,0,0,840.9090909,-0.1413,0.1217,1859,-0.0865,-0.3022,1883081,-0.1162,-0.1078,17,0,1.125,0.3077,0,-0.6923
201906,94806,"san pablo, ca",*,479050,-0.0062,NULL,49,0.0889,NULL,27,0.4595,NULL,48,0,0.0909,0,NULL,NULL,4,-0.5,0,50,0,-0.0196,338.4446878,-0.01,-0.0765,1320,0.0111,0.112,501094,-0.8399,0.0522,99,0.0421,0.1512,1.0204,-0.0907,-0.4367
201906,94403,"san mateo, ca",NULL,1498050,-0.0154,-0.0007,46,0.15,0.6429,27,0.8,0.2857,52,0.3,0.1818,0,NULL,-1,8,0,NULL,33,0.0313,-0.2326,877.0731707,-0.035,-0.0345,1670,0.1096,-0.0457,1498678,0.0424,-0.0544,79,0.0972,0.1127,0.7174,-0.0826,-0.8183
201906,94306,"palo alto, ca",NULL,2985050,-0.1335,0,20,0.1111,0.25,37,0.1935,1.0556,12,0.5,-0.25,0,NULL,NULL,4,0,0,8,-0.2727,-0.5,1317.42336,-0.0234,-0.1128,2231,-0.0228,0.1066,3251853,-0.1014,-0.1725,28,-0.0345,-0.125,0.4,-0.2111,-0.6
201906,94107,"san francisco, ca",NULL,1390050,-0.0293,0.112,44,0.1892,-0.0435,25,0.4286,0.1364,32,-0.2,-0.2,0,NULL,NULL,4,-0.5,-0.5,23,-0.2581,-0.1154,1087.869362,0.0077,-0.0244,1176,-0.0122,0.0435,1679284,0.0944,0.1771,67,-0.0147,-0.0694,0.5227,-0.3151,-0.0425
201906,94589,"vallejo, ca",NULL,398050,-0.0456,0.0218,33,0.0313,0.2222,28,-0.4766,0.75,24,0,-0.25,4,NULL,NULL,12,2,0,15,-0.1667,0.1538,286.6242038,-0.0051,-0.0117,1428,-0.0455,0.0531,408503,-0.0369,0.0866,48,-0.04,0.2,0.4545,-0.108,-0.0269
201905,94117,"san francisco, ca",NULL,2247550,0.713,0.3482,19,0.1875,-0.0952,8,-0.5897,-0.5897,28,0.1667,0.4,0,NULL,NULL,0,NULL,-1,20,0.3333,0.1765,1012.588944,0.0123,0.116,1982,0.3347,0.287,2860692,0.3259,0.4262,39,0.2581,0.0263,1.0526,0.1151,0.2431
201906,94518,"concord, ca",*,749050,0.0197,0.1096,41,0.1389,0.2059,31,-0.2051,NULL,48,1,0.2,0,NULL,NULL,20,0.6667,1.5,39,-0.0714,-0.025,390.2203857,-0.004,-0.0134,1818,0.0377,0.2267,734192,0.032,0.0644,80,0.0256,0.0811,0.9512,-0.2154,-0.2253
201906,94555,"fremont, ca",NULL,1099050,-0.0095,-0.1208,54,-0.069,0.7419,30,0.3333,0.6667,44,-0.1538,0.5714,0,NULL,NULL,28,0.4,2.5,40,0.0256,-0.1837,685.7855362,0.0059,-0.082,1504,-0.0053,-0.0868,1114441,0.0094,-0.0884,94,-0.0309,0.175,0.7407,0.0683,-0.8399
