regionname,city,Incr_Per,date,Incr_type,Year
94586,Sunol,-0.02432983,201908,Decr,2019
94933,Lagunitas,0.02230984,201908,Incr,2019
94104,San Francisco,-0.02154492,201908,Decr,2019
94528,Diablo,-0.034522424,201908,Decr,2019
94970,Stinson Beach,0.076437455,201908,Incr,2019
94514,Byron,0.021084236,201908,Incr,2019
94963,San Geronimo,0.003781075,201908,Incr,2019
94938,Lagunitas,0.043824397,201908,Incr,2019
94946,Nicasio,0.046056001,201908,Incr,2019
94592,Vallejo,0.054041921,201908,Incr,2019
94964,San Quentin,-0.030314805,201908,Decr,2019
95140,East Foothills,-0.005455389,201908,Decr,2019
94512,Birds Landing,0.107546325,201908,Huge_Incr,2019
94109,San Francisco,0.054813461,201808,Incr,2018
94565,Pittsburg,0.085172726,201808,Incr,2018
94501,Alameda,0.119965023,201808,Huge_Incr,2018
94110,San Francisco,0.101678323,201808,Huge_Incr,2018
94558,Napa,0.05939466,201808,Incr,2018
94533,Fairfield,0.091342709,201808,Incr,2018
94536,Fremont,0.205083992,201808,Huge_Incr,2018
95035,Milpitas,0.244769408,201808,Huge_Incr,2018
94544,Hayward,0.147601558,201808,Huge_Incr,2018
94568,Dublin,0.108815432,201808,Huge_Incr,2018
94509,Antioch,0.168982792,201808,Huge_Incr,2018
94122,San Francisco,0.143647967,201808,Huge_Incr,2018
94541,Hayward,0.133801965,201808,Huge_Incr,2018
94538,Fremont,0.212959271,201808,Huge_Incr,2018
94513,Brentwood,0.07875131,201808,Incr,2018
94587,Union City,0.189777838,201808,Huge_Incr,2018
94080,South San Francisco,0.193512609,201808,Huge_Incr,2018
94112,San Francisco,0.14337362,201808,Huge_Incr,2018
94087,Sunnyvale,0.242660899,201808,Huge_Incr,2018
94086,Sunnyvale,0.260956356,201808,Huge_Incr,2018
94806,San Pablo,0.085365988,201808,Incr,2018
94591,Vallejo,0.100103114,201808,Huge_Incr,2018
94553,Martinez,0.084062982,201808,Incr,2018
94015,Daly City,0.169784453,201808,Huge_Incr,2018
94115,San Francisco,0.132427906,201808,Huge_Incr,2018
94117,San Francisco,0.137283857,201808,Huge_Incr,2018
94102,San Francisco,0.059661257,201808,Incr,2018
94121,San Francisco,0.117048242,201808,Huge_Incr,2018
94611,Oakland,0.084874208,201808,Incr,2018
94550,Livermore,0.109171075,201808,Huge_Incr,2018
94577,San Leandro,0.120974678,201808,Huge_Incr,2018
94118,San Francisco,0.162186077,201808,Huge_Incr,2018
94546,Castro Valley,0.113260789,201808,Huge_Incr,2018
94403,San Mateo,0.16157811,201808,Huge_Incr,2018
94103,San Francisco,0.104673613,201808,Huge_Incr,2018
94590,Vallejo,0.142177925,201808,Huge_Incr,2018
94114,San Francisco,0.084087158,201808,Incr,2018
94107,San Francisco,0.06032851,201808,Incr,2018
94539,Fremont,0.169517575,201808,Huge_Incr,2018
94010,Burlingame,0.177114219,201808,Huge_Incr,2018
94566,Pleasanton,0.150755344,201808,Huge_Incr,2018
94605,Oakland,0.120935583,201808,Huge_Incr,2018
94066,San Bruno,0.202495611,201808,Huge_Incr,2018
94601,Oakland,0.12890363,201808,Huge_Incr,2018
94610,Oakland,0.13484963,201808,Huge_Incr,2018
94025,Menlo Park,0.201204848,201808,Huge_Incr,2018
95476,Sonoma,0.082726514,201808,Incr,2018
94901,San Rafael,0.046488172,201808,Incr,2018
94606,Oakland,0.112963179,201808,Huge_Incr,2018
94040,Mountain View,0.23386892,201808,Huge_Incr,2018
94608,Oakland,0.107469225,201808,Huge_Incr,2018
94404,Foster City,0.159761698,201808,Huge_Incr,2018
94116,San Francisco,0.124591247,201808,Huge_Incr,2018
94804,Richmond,0.133232789,201808,Huge_Incr,2018
94560,Newark,0.215358316,201808,Huge_Incr,2018
94578,San Leandro,0.128584256,201808,Huge_Incr,2018
94044,Pacifica,0.178429311,201808,Huge_Incr,2018
94123,San Francisco,0.147005025,201808,Huge_Incr,2018
94523,Pleasant Hill,0.132578611,201808,Huge_Incr,2018
94303,Palo Alto,0.209526741,201808,Huge_Incr,2018
94583,San Ramon,0.073735551,201808,Incr,2018
94954,Petaluma,0.076442254,201808,Incr,2018
94531,Antioch,0.120130668,201808,Huge_Incr,2018
94561,Oakley,0.063939849,201808,Incr,2018
95134,San Jose,0.282790081,201808,Huge_Incr,2018
94061,Redwood City,0.153195803,201808,Huge_Incr,2018
94401,San Mateo,0.187788928,201808,Huge_Incr,2018
94043,Mountain View,0.247380573,201808,Huge_Incr,2018
94131,San Francisco,0.146884516,201808,Huge_Incr,2018
94014,Daly City,0.179298578,201808,Huge_Incr,2018
94520,Concord,0.199083179,201808,Huge_Incr,2018
94133,San Francisco,0.078549087,201808,Incr,2018
94941,Mill Valley,0.036579218,201808,Incr,2018
94526,Danville,0.064582849,201808,Incr,2018
94588,Pleasanton,0.144763464,201808,Huge_Incr,2018
94070,San Carlos,0.158755651,201808,Huge_Incr,2018
94903,San Rafael,0.079501683,201808,Incr,2018
94602,Oakland,0.119244966,201808,Huge_Incr,2018
94063,Redwood City,0.248458647,201808,Huge_Incr,2018
94306,Palo Alto,0.198858491,201808,Huge_Incr,2018
94510,Benicia,0.072470659,201808,Incr,2018
94607,Oakland,0.093702615,201808,Incr,2018
94555,Fremont,0.217148417,201808,Huge_Incr,2018
94134,San Francisco,0.112755201,201808,Huge_Incr,2018
94530,El Cerrito,0.12495845,201808,Huge_Incr,2018
94549,Lafayette,0.105657678,201808,Huge_Incr,2018
94002,Belmont,0.143807342,201808,Huge_Incr,2018
94596,Walnut Creek,0.080471455,201808,Incr,2018
94559,Napa,0.051606442,201808,Incr,2018
94124,San Francisco,0.096695706,201808,Incr,2018
94132,San Francisco,0.144719223,201808,Huge_Incr,2018
94598,Walnut Creek,0.090815307,201808,Incr,2018
94609,Oakland,0.11407267,201808,Huge_Incr,2018
94402,San Mateo,0.160604659,201808,Huge_Incr,2018
94545,Hayward,0.15544732,201808,Huge_Incr,2018
94062,Redwood City,0.168098479,201808,Huge_Incr,2018
94585,Suisun City,0.086319388,201808,Incr,2018
94518,Concord,0.073945558,201808,Incr,2018
94595,Walnut Creek,0.079939638,201808,Incr,2018
94603,Oakland,0.175774975,201808,Huge_Incr,2018
94619,Oakland,0.104520647,201808,Huge_Incr,2018
94801,Richmond,0.122248448,201808,Huge_Incr,2018
94612,Oakland,0.072251607,201808,Incr,2018
94589,Vallejo,0.13809478,201808,Huge_Incr,2018
94621,Oakland,0.168358185,201808,Huge_Incr,2018
94580,San Lorenzo,0.133959666,201808,Huge_Incr,2018
94704,Berkeley,0.131098639,201808,Huge_Incr,2018
94947,Novato,0.063081057,201808,Incr,2018
94803,El Sobrante,0.179213198,201808,Huge_Incr,2018
94030,Millbrae,0.169036231,201808,Huge_Incr,2018
94085,Sunnyvale,0.310579016,201808,Huge_Incr,2018
94703,Berkeley,0.12300939,201808,Huge_Incr,2018
94547,Hercules,0.091794479,201808,Incr,2018
94089,Sunnyvale,0.321481738,201808,Huge_Incr,2018
94506,Danville,0.084717252,201808,Incr,2018
94706,Albany,0.092055066,201808,Incr,2018
94024,Los Altos,0.222813624,201808,Huge_Incr,2018
94105,San Francisco,0.049005106,201808,Incr,2018
94702,Berkeley,0.081055973,201808,Incr,2018
94301,Palo Alto,0.222927656,201808,Huge_Incr,2018
94127,San Francisco,0.126826066,201808,Huge_Incr,2018
95620,Dixon,0.078325484,201808,Incr,2018
94022,Los Altos,0.180969272,201808,Huge_Incr,2018
94618,Oakland,0.175112151,201808,Huge_Incr,2018
94563,Orinda,0.058394413,201808,Incr,2018
94108,San Francisco,0.030309079,201808,Incr,2018
94564,Pinole,0.09931211,201808,Incr,2018
94949,Novato,0.090199255,201808,Incr,2018
94579,San Leandro,0.12170914,201808,Huge_Incr,2018
94945,Novato,0.067273477,201808,Incr,2018
94019,Half Moon Bay,0.152901971,201808,Huge_Incr,2018
94705,Berkeley,0.164601263,201808,Huge_Incr,2018
94503,American Canyon,0.070331586,201808,Incr,2018
94960,San Anselmo,0.071691619,201808,Incr,2018
94920,Tiburon,0.069740058,201808,Incr,2018
94965,Sausalito,0.007934746,201808,Incr,2018
94507,Alamo,0.051244056,201808,Incr,2018
94556,Moraga,0.020063789,201808,Incr,2018
94709,Berkeley,0.138354489,201808,Huge_Incr,2018
94571,Rio Vista,0.083268219,201808,Incr,2018
94805,Richmond,0.147689013,201808,Huge_Incr,2018
94707,Berkeley,0.100742879,201808,Huge_Incr,2018
94904,Kentfield,0.030834268,201808,Incr,2018
94502,Alameda,0.057373124,201808,Incr,2018
94542,Hayward,0.106885992,201808,Huge_Incr,2018
94517,Clayton,0.023279949,201808,Incr,2018
94065,Redwood City,0.169998959,201808,Huge_Incr,2018
94552,Castro Valley,0.120318587,201808,Huge_Incr,2018
94708,Berkeley,0.070341293,201808,Incr,2018
94305,Stanford,0.172906103,201808,Huge_Incr,2018
94925,Corte Madera,0.029798129,201808,Incr,2018
94930,Fairfax,0.006072267,201808,Incr,2018
94939,Larkspur,0.048057655,201808,Incr,2018
94710,Berkeley,0.116684168,201808,Huge_Incr,2018
94572,Rodeo,0.15402479,201808,Huge_Incr,2018
94028,Portola Valley,0.182456314,201808,Huge_Incr,2018
94304,Palo Alto,0.173672752,201808,Huge_Incr,2018
94027,Atherton,0.168918973,201808,Huge_Incr,2018
94111,San Francisco,0.031134494,201808,Incr,2018
94038,Moss Beach,0.155453928,201808,Huge_Incr,2018
94005,Brisbane,0.149441855,201808,Huge_Incr,2018
94535,Fairfield,0.076860658,201808,Incr,2018
94525,Crockett,0.135856351,201808,Huge_Incr,2018
95002,San Jose,0.204589662,201808,Huge_Incr,2018
94973,Woodacre,0.000269914,201808,Incr,2018
94586,Sunol,0.138386594,201808,Huge_Incr,2018
94933,Lagunitas,0.024715253,201808,Incr,2018
94104,San Francisco,0.024624162,201808,Incr,2018
94528,Diablo,0.066256411,201808,Incr,2018
94970,Stinson Beach,0.15689058,201808,Huge_Incr,2018
94514,Byron,0.104591192,201808,Huge_Incr,2018
94963,San Geronimo,0.006542969,201808,Incr,2018
94938,Lagunitas,0.006803533,201808,Incr,2018
94946,Nicasio,0.005677966,201808,Incr,2018
94592,Vallejo,0.080027748,201808,Incr,2018
94964,San Quentin,0.03387342,201808,Incr,2018
95140,East Foothills,0.126681135,201808,Huge_Incr,2018
