regionname,city,incr_per,date,incr_type,year,month_date_yyyymm,postal_code,zip_name,active_listing_count_yy,median_days_on_market_yy,new_listing_count_yy,pending_ratio_yy,year-2
94127,San Francisco,0.021259689,202008,Stable_Incr,2020,202007,94127,"san francisco, ca",1,0.3514,4,-0.0833,2020
95620,Dixon,0.002906261,202008,Stable_Incr,2020,202007,95620,"dixon, ca",-0.4762,0.027,-0.1667,0.7078,2020
94022,Los Altos,0.098052854,202008,High_Incr,2020,202007,94022,"los altos, ca",0.1622,-0.4206,1.6667,0.0792,2020
94618,Oakland,0.038464654,202008,Small_Incr,2020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94563,Orinda,0.02787541,202008,Stable_Incr,2020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94108,San Francisco,-0.021742872,202008,Small_Decr,2020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94564,Pinole,0.018601288,202008,Stable_Incr,2020,202007,94564,"pinole, ca",-0.4231,0.1452,-0.6,0.2282,2020
94949,Novato,0.017895214,202008,Stable_Incr,2020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94579,San Leandro,0.072932708,202008,High_Incr,2020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94945,Novato,0.020457991,202008,Stable_Incr,2020,202007,94945,"novato, ca",-0.0968,0.1948,-0.3333,0.3698,2020
94019,Half Moon Bay,-0.015955799,202008,Small_Decr,2020,202007,94019,"half moon bay, ca",-0.3714,0.5976,0,0.5766,2020
94705,Berkeley,0.043970844,202008,Small_Incr,2020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94503,American Canyon,0.04143511,202008,Small_Incr,2020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94960,San Anselmo,0.087432117,202008,High_Incr,2020,202007,94960,"san anselmo, ca",-0.5172,-0.4615,0.5,0.798,2020
94920,Tiburon,0.093533387,202008,High_Incr,2020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94965,Sausalito,0.080745429,202008,High_Incr,2020,202007,94965,"sausalito, ca",0.0526,-0.2159,0.25,0.2408,2020
94507,Alamo,0.036307333,202008,Small_Incr,2020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94556,Moraga,0.06189483,202008,Moderate_Incr,2020,202007,94556,"moraga, ca",-0.1579,0.0685,0.4,0.4589,2020
94709,Berkeley,0.042969646,202008,Small_Incr,2020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94571,Rio Vista,0.011611494,202008,Stable_Incr,2020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94805,Richmond,0.032251782,202008,Small_Incr,2020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94707,Berkeley,0.061667753,202008,Moderate_Incr,2020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94904,Kentfield,0.085580917,202008,High_Incr,2020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94502,Alameda,0.042941158,202008,Small_Incr,2020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94542,Hayward,0.063748586,202008,Moderate_Incr,2020,202007,94542,"hayward, ca",-0.3913,-0.4306,-0.2,0.559,2020
94517,Clayton,0.017964392,202008,Stable_Incr,2020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
