regionname,city,Incr_Per,date,Incr_type,Year,month_date_yyyymm,postal_code,zip_name,active_listing_count_yy,median_days_on_market_yy,new_listing_count_yy,pending_ratio_yy
94118,San Francisco,0.026820405,201908,Incr,2019,201907,94118,"san francisco, ca",0.125,0.2881,0,-0.2639
94546,Castro Valley,-0.020817091,201908,Decr,2019,201907,94546,"castro valley, ca",0.6829,0.3902,-0.1333,-0.1297
94403,San Mateo,-0.074598336,201908,Decr,2019,201907,94403,"san mateo, ca",0.4615,0.5,-0.1667,-0.8502
94590,Vallejo,0.017408305,201908,Incr,2019,201907,94590,"vallejo, ca",-0.0926,0.0278,-0.2727,0.0378
94114,San Francisco,-0.010603717,201908,Decr,2019,201907,94114,"san francisco, ca",-0.04,0,0.2,-0.4117
94107,San Francisco,-0.000241127,201908,Decr,2019,201907,94107,"san francisco, ca",0,0.913,-0.4444,-0.3415
94539,Fremont,-0.021340097,201908,Decr,2019,201907,94539,"fremont, ca",0.5846,0.3091,0,-0.2402
94010,Burlingame,-0.066842008,201908,Decr,2019,201907,94010,"burlingame, ca",0.3036,0.0909,0.6,-0.114
94566,Pleasanton,-0.043743642,201908,Decr,2019,201907,94566,"pleasanton, ca",0.4118,0.3433,-0.2143,-0.2978
94605,Oakland,-0.001175493,201908,Decr,2019,201907,94605,"oakland, ca",-0.1795,0.122,0.2667,0.3045
94601,Oakland,0.004182054,201908,Incr,2019,201907,94601,"oakland, ca",0.25,0.3922,-0.1667,0.2143
94610,Oakland,0.045046786,201908,Incr,2019,201907,94610,"oakland, ca",-0.24,0.3438,-0.5714,0.0168
94025,Menlo Park,-0.082356641,201908,Decr,2019,201907,94025,"menlo park, ca",0.7,0.4412,0.2857,-0.3574
94901,San Rafael,0.022286938,201908,Incr,2019,201907,94901,"san rafael, ca",0.12,-0.1538,0.2857,0.0193
94606,Oakland,-0.033952422,201908,Decr,2019,201907,94606,"oakland, ca",0.3684,0.4576,-0.3333,-0.2854
94040,Mountain View,-0.126416393,201908,Huge_Decr,2019,201907,94040,"mountain view, ca",0.8182,0.1321,0,-0.85
94608,Oakland,-0.012660738,201908,Decr,2019,201907,94608,"emeryville, ca",0.1395,0.2,0,0.0256
94404,Foster City,-0.071011956,201908,Decr,2019,201907,94404,"san mateo, ca",0.4444,0.8039,0,-0.0399
94116,San Francisco,-0.012013266,201908,Decr,2019,201907,94116,"san francisco, ca",0.9286,0.3043,0.25,-0.9392
94804,Richmond,0.015747645,201908,Incr,2019,201907,94804,"richmond, ca",0.55,0.2075,0.1111,-0.3581
94560,Newark,-0.06899157,201908,Decr,2019,201907,94560,"newark, ca",1.0357,0.6053,0,-0.4455
