regionname,city,8/31/1996,8/31/1997,8/31/1998,8/31/1999,8/31/2000,8/31/2001,8/31/2002,8/31/2003,8/31/2004,8/31/2005,8/31/2006,8/31/2007,8/31/2008,8/31/2009,8/31/2010,8/31/2011,8/31/2012,8/31/2013,8/31/2014,8/31/2015,8/31/2016,8/31/2017,8/31/2018,8/31/2019,8/31/2020,199708,199808,199908,200008,200108,200208,200308,200408,200508,200608,200708,200808,200908,201008,201108,201208,201308,201408,201508,201608,201708,201808,201908,202008
94114,San Francisco,346928,388012,447631,535277,695678,766019,748079,765690,889567,1024663,1061777,1104499,1093083,970019,939996,889903,1024193,1201737,1393543,1637824,1672836,1807339,1959313,1938537,1999820,0.1184,0.1537,0.1958,0.2997,0.1011,-0.0234,0.0235,0.1618,0.1519,0.0362,0.0402,-0.0103,-0.1126,-0.0310,-0.0533,0.1509,0.1734,0.1596,0.1753,0.0214,0.0804,0.0841,-0.0106,0.0316
94107,San Francisco,270220,297834,353673,402563,518030,609682,566608,584920,669706,798900,816696,844702,784136,694580,687568,658097,723177,868277,965957,1104192,1120108,1153816,1223424,1223129,1221113,0.1022,0.1875,0.1382,0.2868,0.1769,-0.0706,0.0323,0.1450,0.1929,0.0223,0.0343,-0.0717,-0.1142,-0.0101,-0.0429,0.0989,0.2006,0.1125,0.1431,0.0144,0.0301,0.0603,-0.0002,-0.0016
94539,Fremont,301534,338465,385533,408170,495025,583752,590535,612591,697245,823114,852843,841168,814669,776008,813159,769643,804408,994773,1075293,1199347,1306454,1421009,1661895,1626430,1654777,0.1225,0.1391,0.0587,0.2128,0.1792,0.0116,0.0373,0.1382,0.1805,0.0361,-0.0137,-0.0315,-0.0475,0.0479,-0.0535,0.0452,0.2367,0.0809,0.1154,0.0893,0.0877,0.1695,-0.0213,0.0174
94010,Burlingame,509715,563262,641534,696380,868297,981119,981519,1021091,1161353,1348310,1381913,1396283,1323110,1184694,1190852,1268064,1515881,1792242,1988879,2185441,2359968,2521356,2967924,2769542,2834419,0.1051,0.1390,0.0855,0.2469,0.1299,0.0004,0.0403,0.1374,0.1610,0.0249,0.0104,-0.0524,-0.1046,0.0052,0.0648,0.1954,0.1823,0.1097,0.0988,0.0799,0.0684,0.1771,-0.0668,0.0234
94566,Pleasanton,291899,314951,355073,388197,456499,533767,539285,571743,669757,804242,817930,775696,720471,698005,713919,682837,704376,867307,910540,1000585,1072724,1110488,1277900,1222000,1227739,0.0790,0.1274,0.0933,0.1759,0.1693,0.0103,0.0602,0.1714,0.2008,0.0170,-0.0516,-0.0712,-0.0312,0.0228,-0.0435,0.0315,0.2313,0.0498,0.0989,0.0721,0.0352,0.1508,-0.0437,0.0047
94605,Oakland,143034,147119,160410,172325,209516,259870,289658,318776,374393,452789,481823,464135,365162,329905,336341,294504,297446,384240,422334,489471,548115,603346,676312,675517,709585,0.0286,0.0903,0.0743,0.2158,0.2403,0.1146,0.1005,0.1745,0.2094,0.0641,-0.0367,-0.2132,-0.0966,0.0195,-0.1244,0.0100,0.2918,0.0991,0.1590,0.1198,0.1008,0.1209,-0.0012,0.0504
94066,San Bruno,238906,254478,291216,329229,400110,460033,493306,518782,601419,709213,747980,741215,625864,544596,564186,538352,561927,677608,758258,866538,931930,989898,1190348,1140862,1160379,0.0652,0.1444,0.1305,0.2153,0.1498,0.0723,0.0516,0.1593,0.1792,0.0547,-0.0090,-0.1556,-0.1298,0.0360,-0.0458,0.0438,0.2059,0.1190,0.1428,0.0755,0.0622,0.2025,-0.0416,0.0171
94601,Oakland,102862,105222,111985,117971,141577,180696,217519,246531,294265,359548,391270,374302,292803,232716,247535,216360,219421,281855,326788,395942,464246,523391,590858,593329,633988,0.0229,0.0643,0.0535,0.2001,0.2763,0.2038,0.1334,0.1936,0.2219,0.0882,-0.0434,-0.2177,-0.2052,0.0637,-0.1259,0.0141,0.2845,0.1594,0.2116,0.1725,0.1274,0.1289,0.0042,0.0685
94610,Oakland,111285,119409,132972,147899,180182,215175,232997,250782,287581,334205,338827,325771,311896,320369,352489,339407,404604,538986,619786,773493,955876,1085320,1231675,1287158,1341203,0.0730,0.1136,0.1123,0.2183,0.1942,0.0828,0.0763,0.1467,0.1621,0.0138,-0.0385,-0.0426,0.0272,0.1003,-0.0371,0.1921,0.3321,0.1499,0.2480,0.2358,0.1354,0.1348,0.0450,0.0420
94025,Menlo Park,440052,494823,579922,636012,792475,887958,877981,882385,997516,1150028,1191919,1236749,1195474,1050951,1061273,1115756,1338688,1531233,1775111,1999101,2063898,2157617,2591740,2378293,2371576,0.1245,0.1720,0.0967,0.2460,0.1205,-0.0112,0.0050,0.1305,0.1529,0.0364,0.0376,-0.0334,-0.1209,0.0098,0.0513,0.1998,0.1438,0.1593,0.1262,0.0324,0.0454,0.2012,-0.0824,-0.0028
95476,Sonoma,263111,271716,298864,335779,393774,479668,520480,578542,672859,790808,803365,750330,642492,544158,517818,471329,474536,567544,648941,698278,749153,776728,840984,819279,825760,0.0327,0.0999,0.1235,0.1727,0.2181,0.0851,0.1116,0.1630,0.1753,0.0159,-0.0660,-0.1437,-0.1531,-0.0484,-0.0898,0.0068,0.1960,0.1434,0.0760,0.0729,0.0368,0.0827,-0.0258,0.0079
94901,San Rafael,366639,384324,416022,474372,563641,651726,692663,729964,829570,945070,976072,966367,898643,754209,757659,648487,687335,786109,843320,931867,975347,1057882,1107061,1131734,1191128,0.0482,0.0825,0.1403,0.1882,0.1563,0.0628,0.0539,0.1365,0.1392,0.0328,-0.0099,-0.0701,-0.1607,0.0046,-0.1441,0.0599,0.1437,0.0728,0.1050,0.0467,0.0846,0.0465,0.0223,0.0525
94606,Oakland,130087,128349,136266,146970,175776,225565,256016,279907,331063,395984,424253,402909,339898,279238,297393,264798,287066,372398,398000,486705,566114,642165,714706,690440,722130,-0.0134,0.0617,0.0786,0.1960,0.2833,0.1350,0.0933,0.1828,0.1961,0.0714,-0.0503,-0.1564,-0.1785,0.0650,-0.1096,0.0841,0.2973,0.0687,0.2229,0.1632,0.1343,0.1130,-0.0340,0.0459
94040,Mountain View,397797,444385,500550,549304,684378,772940,750408,746963,846487,1009032,1022709,1070915,990416,1002605,1045424,1030641,1123889,1376415,1486483,1754886,1806036,1956921,2414584,2109341,2328456,0.1171,0.1264,0.0974,0.2459,0.1294,-0.0292,-0.0046,0.1332,0.1920,0.0136,0.0471,-0.0752,0.0123,0.0427,-0.0141,0.0905,0.2247,0.0800,0.1806,0.0291,0.0835,0.2339,-0.1264,0.1039
94608,Oakland,158160,158067,172418,189789,211025,272172,299017,337883,393717,475961,507107,482642,411791,371576,353208,306162,315929,422892,471104,556516,640591,678464,751378,741865,788325,-0.0006,0.0908,0.1007,0.1119,0.2898,0.0986,0.1300,0.1652,0.2089,0.0654,-0.0482,-0.1468,-0.0977,-0.0494,-0.1332,0.0319,0.3386,0.1140,0.1813,0.1511,0.0591,0.1075,-0.0127,0.0626
94404,Foster City,308988,341311,397720,429594,522524,593116,594115,609811,702377,812793,839845,850339,783689,708201,727495,713883,767933,911903,1051436,1218797,1283302,1380600,1601167,1487465,1517709,0.1046,0.1653,0.0801,0.2163,0.1351,0.0017,0.0264,0.1518,0.1572,0.0333,0.0125,-0.0784,-0.0963,0.0272,-0.0187,0.0757,0.1875,0.1530,0.1592,0.0529,0.0758,0.1598,-0.0710,0.0203
94116,San Francisco,304054,339958,394093,432587,515255,611585,641792,678994,792104,909038,927909,947052,889634,800533,816894,740010,788213,945011,1027888,1132081,1196433,1316505,1480530,1462744,1441276,0.1181,0.1592,0.0977,0.1911,0.1870,0.0494,0.0580,0.1666,0.1476,0.0208,0.0206,-0.0606,-0.1002,0.0204,-0.0941,0.0651,0.1989,0.0877,0.1014,0.0568,0.1004,0.1246,-0.0120,-0.0147
94804,Richmond,188017,187985,216379,225873,242391,283568,325652,367806,441719,520498,552128,508295,431285,322519,311793,245512,254950,335651,364374,421905,486304,539064,610885,620505,644420,-0.0002,0.1510,0.0439,0.0731,0.1699,0.1484,0.1294,0.2010,0.1783,0.0608,-0.0794,-0.1515,-0.2522,-0.0333,-0.2126,0.0384,0.3165,0.0856,0.1579,0.1526,0.1085,0.1332,0.0157,0.0385
94560,Newark,186585,201648,227293,248538,303199,363041,370085,395384,452913,557068,581986,558761,467634,411499,425628,388569,387758,511446,580754,664749,730308,794996,966205,899545,915980,0.0807,0.1272,0.0935,0.2199,0.1974,0.0194,0.0684,0.1455,0.2300,0.0447,-0.0399,-0.1631,-0.1200,0.0343,-0.0871,-0.0021,0.3190,0.1355,0.1446,0.0986,0.0886,0.2154,-0.0690,0.0183
94578,San Leandro,153337,158211,172557,188818,236190,282035,313038,340409,397476,481411,506445,480054,378108,319390,329029,289867,287223,387182,428168,484998,536041,584675,659855,644544,679095,0.0318,0.0907,0.0942,0.2509,0.1941,0.1099,0.0874,0.1676,0.2112,0.0520,-0.0521,-0.2124,-0.1553,0.0302,-0.1190,-0.0091,0.3480,0.1059,0.1327,0.1052,0.0907,0.1286,-0.0232,0.0536
94044,Pacifica,276088,297183,329524,374107,449682,509908,545555,565994,666659,792351,812649,792420,695085,592981,609250,541496,562588,668804,736436,838601,893761,949418,1118822,1091587,1125101,0.0764,0.1088,0.1353,0.2020,0.1339,0.0699,0.0375,0.1779,0.1885,0.0256,-0.0249,-0.1228,-0.1469,0.0274,-0.1112,0.0390,0.1888,0.1011,0.1387,0.0658,0.0623,0.1784,-0.0243,0.0307
94123,San Francisco,444906,487346,575445,676455,828331,982915,973083,1003346,1128744,1308020,1353521,1388262,1390357,1291326,1293245,1195678,1304934,1529266,1673181,2011423,2024529,2164960,2483220,2513443,2456935,0.0954,0.1808,0.1755,0.2245,0.1866,-0.0100,0.0311,0.1250,0.1588,0.0348,0.0257,0.0015,-0.0712,0.0015,-0.0754,0.0914,0.1719,0.0941,0.2022,0.0065,0.0694,0.1470,0.0122,-0.0225
94523,Pleasant Hill,145601,163735,192797,205082,240547,277412,316291,357243,433913,512686,523807,469699,418714,359109,370248,307875,324363,399381,447017,526711,575246,635819,720115,741619,777854,0.1245,0.1775,0.0637,0.1729,0.1533,0.1401,0.1295,0.2146,0.1815,0.0217,-0.1033,-0.1085,-0.1424,0.0310,-0.1685,0.0536,0.2313,0.1193,0.1783,0.0921,0.1053,0.1326,0.0299,0.0489
94303,Palo Alto,294493,337937,377701,432898,559649,636717,643223,657510,751864,893481,948572,973917,865992,782997,800908,785799,935510,1163308,1351433,1620699,1652423,1793184,2168904,1934795,2000579,0.1475,0.1177,0.1461,0.2928,0.1377,0.0102,0.0222,0.1435,0.1884,0.0617,0.0267,-0.1108,-0.0958,0.0229,-0.0189,0.1905,0.2435,0.1617,0.1992,0.0196,0.0852,0.2095,-0.1079,0.0340
94583,San Ramon,328511,341391,375802,411038,456703,518008,572943,634235,745307,888468,900743,821247,753601,673190,688722,672996,717040,860572,945389,1010189,1066058,1112896,1194956,1180140,1205496,0.0392,0.1008,0.0938,0.1111,0.1342,0.1061,0.1070,0.1751,0.1921,0.0138,-0.0883,-0.0824,-0.1067,0.0231,-0.0228,0.0654,0.2002,0.0986,0.0685,0.0553,0.0439,0.0737,-0.0124,0.0215
